Charles,Grassley,N00001758,,,
Diane,Feinstein,N00007364,,,
John,Cornyn,N00024852,,,
Ted,Cruz,N00033085,,,
Jeff,Flake,N00009573,,,
Lindsey,Graham,N00009975,,,
Mike,Lee,N00031696,,,
Benjamin,Sasse,N00035544,,,
Richard,Blumenthal,N00031685,,,
Chris,Coons,N00031820,,,
Richard,Durbin,N00036915,,,
Alan,Franken,N00029016,,,
Amy,Klobuchar,N00027500,,,
Sheldon,Whitehouse,N00027533,,,
Michael,Crapo,N00006267,,,
Orrin,Hatch,N00009869,,,
Mazie,Hirono,N00028139,,, 
John,Kennedy,N00034044,,,
Patrick,Leahy,N00009918,,,
Thom,Tillis,N00035492,,,
,,#N/A,,,